#flickr_photo_id	category	beauty_scores	downloaded
5194879628	urban	3,3,3,3,4	True
2344252524	urban	3,4,3,4,3	False
5667698922	nature	3,3,3,3,3	True
7358777592	people	4,4,4,3,2	True
3277456063	animals	4,4,4,4,4	True
5866178106	nature	3,4,3,3,3	True
8032854457	people	3,4,3,4,4	True
4426334761	animals	3,5,5,2,3	True
7864498360	animals	4,4,4,4,4	True
7864680486	people	4,4,4,3,4	True
4518620887	animals	3,4,3,4,4	True
8120965926	animals	3,3,3,4,3	True
4106530301	nature	3,3,3,3,3	True
7688453454	nature	4,4,3,3,4	True
8227705	animals	2,1,2,2,2	True
4780856710	urban	3,3,3,3,3,3	True
3399989303	people	3,3,3,3,3,3,3,4,3,4	True
3621844364	animals	4,5,5,4,5	True
7420708952	animals	4,4,4,4,4,3,4,3,3,4	True
7878462854	people	3,3,3,4,4	True
78678715	nature	3,4,4,4,4,4	True
8445852562	urban	3,4,3,3,4	True
7589377862	animals	4,4,4,4,5	True
2518287686	people	4,3,2,3,3	True
49021903	animals	4,5,5,3,5	True
4392058600	animals	3,3,3,3,3,3	True
6107793245	people	3,3,3,4,3	True
2269532383	people	2,3,3,2,2	True
7984621328	urban	5,3,3,4,4	True
2245922742	urban	3,3,3,3,3,3,3	True
2712955792	urban	4,4,4,5,4,5	True
210138169	nature	4,3,3,3,3	True
8093521898	nature	2,3,3,3,3,3	True
7316739294	nature	4,5,3,4,4	True
3458162113	animals	3,3,3,3,4,5	True
6966143248	people	3,4,5,4,4	False
3694710426	people	3,3,3,3,4	True
5796807545	people	2,3,3,3,3	True
3418082203	people	4,4,2,4,3	False
4628381181	animals	3,4,4,3,3,3	True
5982317572	animals	3,4,5,4,3	True
1776984971	urban	3,4,3,4,3	True
7941271972	nature	4,3,3,3,3	False
7493980412	nature	3,3,3,3,4	True
7556613264	animals	4,4,5,4,5	True
267409272	nature	4,4,3,3,4	True
4574835807	urban	3,4,3,4,3,3	True
3191428445	urban	4,3,5,3,3,3,3,4,3,2	True
2210884343	urban	3,4,4,3,3	True
3387876484	nature	4,3,5,2,4	True
3461156301	animals	4,3,3,3,3	True
4882857425	animals	4,4,4,4,5	True
5231114725	urban	3,2,2,3,3,4	True
6939805813	urban	4,4,4,4,5,4	True
174611827	nature	4,3,4,4,3	False
6802523217	people	5,3,4,4,4	True
3361201036	animals	3,3,3,3,3,3	True
2859819217	animals	4,4,4,5,5	True
8096636695	urban	4,4,5,3,4	True
3724341720	animals	2,2,3,2,2	True
2728446092	animals	3,3,3,3,3,3,3,3,3,3	True
8511844507	animals	4,4,5,4,4,4,4,4,4,4	True
5331710895	people	2,4,4,4,4	True
5023164277	urban	3,3,3,3,3	True
6323773070	people	4,4,4,4,3	True
2275922818	urban	3,4,3,4,5,4	True
4735877722	urban	3,3,2,4,3	True
180139824	urban	2,4,3,3,2	True
8222322083	animals	4,3,3,3,3	True
8025837677	people	5,4,4,4,3	True
7910650152	nature	3,3,3,3,3	True
5934413779	urban	5,4,3,4,5	True
778431470	urban	3,3,3,3,3	True
693830215	people	5,4,5,4,4	True
5212721236	people	5,4,5,4,4	True
7223870022	nature	3,3,3,3,2	True
7300332358	nature	3,4,3,3,3	True
